Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C14, C15, C16, C17, C18, C19, C20, C21, C24, C4, C5, C6, C7, C8",0402,16,100n,C1525
"C10, C22, C23, C9",0402,4,1u,C14445
"C11, C12",0402,2,10u,C315248
"C25, C26, C27, C28",0402,4,12p,C106201
CN1,Molex_52602_0579,1,Molex_52602_0579,C588209
"J3, J4",USB_C_Receptacle_Palconn_UTC16-G,2,USB_C_Receptacle_USB2.0,C2988369
J5,microSD_HC_Molex_104031-0811,1,Micro_SD_Card,C585350
"MCU1 Boot_2, MCU1 Boot, MCU2 Reset",SW_SPST_FSMSM,3,MCU1_BOOT,C520860
MCU2 Boot,SW_SPST_FSMSM,1,MCU2_BOOT,C520860
"R10, R2, R3, R9",0402,4,27.4,C284479
"R11, R12, R4, R5",0402,4,5k1,C25905
"R13, R8",0402,2,100k,C60491
"R14, R6",0402,2,10k,C60490
"R15, R7",0402,2,1k,C25543
U1,WQFN-42-1EP_3.5x9mm_P0.5mm_EP2.05x7.55mm,1,TS3L501ERUA,C2652454
"U2, U5",QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,2,RP2040,C2040
U3,SOT-223,1,AZ1117-3.3,C110474
"U4, U6",SOIC-8_5.23x5.23mm_P1.27mm,2,W25Q128JVS,C97521
"Y1, Y2",Crystal_SMD_2520-4Pin_2.5x2.0mm,2,12MHz 10ppm,C521567
