Designator,Footprint,Quantity,Value,LCSC Part #
R15,R_0402_1005Metric,1,1k,
C9,C_0402_1005Metric,1,1u,
MCU1 Boot_2,SW_SPST_FSMSM,1,MCU1_BOOT,
C20,C_0402_1005Metric,1,100n,
C8,C_0402_1005Metric,1,100n,
C17,C_0402_1005Metric,1,100n,
C23,C_0402_1005Metric,1,1u,
C11,C_0402_1005Metric,1,10u,
J3,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,
C26,C_0402_1005Metric,1,12p,
J5,microSD_HC_Molex_104031-0811,1,Micro_SD_Card,
C14,C_0402_1005Metric,1,100n,
Y2,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,12MHz 10ppm,C521567
C24,C_0402_1005Metric,1,100n,
R13,R_0402_1005Metric,1,100k,
R8,R_0402_1005Metric,1,100k,
MCU2 Reset,SW_SPST_FSMSM,1,MCU1_BOOT,
C1,C_0402_1005Metric,1,100n,
R6,R_0402_1005Metric,1,10k,
C19,C_0402_1005Metric,1,100n,
C13,C_0402_1005Metric,1,100n,
C22,C_0402_1005Metric,1,1u,
R2,R_0402_1005Metric,1,27.4,
U5,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
C15,C_0402_1005Metric,1,100n,
U3,SOT-223,1,AZ1117-3.3,
R5,R_0402_1005Metric,1,5k1,
R14,R_0402_1005Metric,1,10k,
C28,C_0402_1005Metric,1,12p,
U1,WQFN-42-1EP_3.5x9mm_P0.5mm_EP2.05x7.55mm,1,TS3L501ERUA,
U4,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
C25,C_0402_1005Metric,1,12p,
MCU2 Boot,SW_SPST_FSMSM,1,MCU2_BOOT,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,1,R,
SW1,SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm,1,Lid,
C18,C_0402_1005Metric,1,100n,
C4,C_0402_1005Metric,1,100n,
R11,R_0402_1005Metric,1,5k1,
R12,R_0402_1005Metric,1,5k1,
MCU1 Boot,SW_SPST_FSMSM,1,MCU1_BOOT,
C6,C_0402_1005Metric,1,100n,
C10,C_0402_1005Metric,1,1u,
U6,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
R9,R_0402_1005Metric,1,27.4,
R3,R_0402_1005Metric,1,27.4,
J2,PinHeader_1x05_P2.54mm_Vertical,1,POWER,
C7,C_0402_1005Metric,1,100n,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Use Dreamcast Power,
C5,C_0402_1005Metric,1,100n,
U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
C27,C_0402_1005Metric,1,12p,
R7,R_0402_1005Metric,1,1k,
J4,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,
R10,R_0402_1005Metric,1,27.4,
C16,C_0402_1005Metric,1,100n,
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,12MHz 10ppm,C521567
R4,R_0402_1005Metric,1,5k1,
C12,C_0402_1005Metric,1,10u,
C21,C_0402_1005Metric,1,100n,
CN1,Molex_52602_0579,1,Molex_52602_0579,
