Designator,Mid X,Mid Y,Rotation,Layer
C1,182.753,-79.248,45.0,top
C10,178.181,-87.63,315.0,top
C11,134.62,-55.626,270.0,top
C12,123.19,-55.626,270.0,top
C13,191.4306,-85.4294,45.0,top
C14,157.734,-85.598,0.0,top
C15,157.734,-82.042,0.0,top
C16,149.799699,-76.927053,90.0,top
C17,146.05,-89.662,270.0,top
C18,142.494,-85.598,180.0,top
C19,142.494,-82.042,180.0,top
C20,148.336,-77.216,90.0,top
C21,150.368,-89.662,270.0,top
C22,149.352,-89.662,270.0,top
C23,147.32,-89.662,270.0,top
C24,143.736,-102.362,180.0,top
C25,169.672,-69.85,0.0,top
C26,150.622,-70.866,0.0,top
C27,169.672,-74.93,180.0,top
C28,151.158,-75.438,180.0,top
C4,170.053,-84.836,225.0,top
C5,172.847,-87.63,225.0,top
C6,177.419,-88.392,315.0,top
C7,170.053,-76.962,135.0,top
C8,180.721,-85.344,315.0,top
C9,179.959,-86.106,315.0,top
CN1,181.61,-53.34,180.0,bottom
J2,135.895,-61.214,90.0,top
J3,117.334,-64.135,270.0,top
J4,117.348,-87.884,270.0,top
J5,191.7065,-105.156,270.0,top
MCU1 Boot_2,132.588,-78.994,0.0,top
MCU1 Boot,132.588,-71.882,0.0,top
MCU2 Boot,132.588,-103.124,0.0,top
MCU2 Reset,132.588,-94.996,180.0,top
R1,156.718,-54.893,90.0,top
R10,142.492,-86.868,0.0,top
R11,120.142,-81.788,0.0,top
R12,117.348,-81.788,0.0,top
R13,114.554,-81.788,0.0,top
R14,156.464,-102.362,180.0,top
R15,137.668,-98.552,0.0,top
R2,175.641,-90.424,90.0,top
R3,174.371,-90.424,90.0,top
R4,119.634,-58.166,0.0,top
R5,117.094,-58.166,0.0,top
R6,194.564,-87.63,0.0,top
R7,141.224,-71.882,0.0,top
R8,114.552,-58.166,0.0,top
R9,142.492,-88.138,0.0,top
SW1,151.892,-57.6155,90.0,top
U1,181.61,-68.5125,90.0,top
U2,175.26,-81.28,225.0,top
U3,129.032,-52.324,90.0,top
U4,188.468,-91.44,45.0,top
U5,150.114,-83.058,180.0,top
U6,150.114,-100.33,180.0,top
Y1,168.91,-72.39,0.0,top
Y2,150.368,-73.152,0.0,top
