Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C13, C14, C15, C16, C5, C6, C9",0402,9,100nF,C1525
"C1001, C1002, C7, C8",0402,4,1uF,C52923
"C3, C4",0402,2,30pF,C107004
CON2,PinSocket_1x03_P2.54mm_Vertical,1,HDR1X3,C146243
CON3,PinSocket_1x03_P2.54mm_Vertical,1,HDR1X3,
D1,0402,1,PowerLED,C130724
F1,1206,1,1.1A,C2760273
"H1, H2, H3, H4",MountingHole_2.2mm_M2_ISO7380_Pad_TopBottom,4,MountingHole_Pad,
J1,HRO-TYPE-C-31-M-12_LCSC,1,USB_C_Receptacle_USB2.0,C165948
J2,BarrelJack_CUI_PJ-036AH-SMT_Horizontal,1,Barrel_Jack,
"R1, R2",0402,2,5k1,C25905
R1001,0402,1,1K,C11702
"R3, R4",0402,2,27,C25100
R5,0402,1,35,
"RP_SW1, RP_SW2",SW_SPST_TL3342,2,SW_Push,C318884
U1001,SOT-23-6,1,SRV05-4,C3021103
U1002,SOT-223,1,AMS1117-3.3,C6186
U3,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U4,RP2040-QFN-56,1,RP2040,C2040
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C9002
