Designator,Mid X,Mid Y,Rotation,Layer
C10,111.006,-84.039,270.0,top
C1001,132.461,-53.975,0.0,top
C1002,136.4488,-56.0806,90.0,top
C11,111.456,-88.249,180.0,top
C13,101.396,-88.249,0.0,top
C14,101.846,-84.039,270.0,top
C15,106.986,-82.219,270.0,top
C16,108.426,-92.809,180.0,top
C3,102.716,-92.279,270.0,top
C4,107.486,-94.559,0.0,top
C5,106.066,-82.219,270.0,top
C6,108.426,-91.889,180.0,top
C7,108.246,-82.219,270.0,top
C8,109.166,-82.219,270.0,top
C9,110.086,-82.219,270.0,top
CON2,65.913,-67.564,0.0,top
CON3,65.898,-54.976,180.0,top
D1,139.3952,-56.1,270.0,top
F1,125.73,-53.887,180.0,top
J1,125.73,-45.847,180.0,top
J2,106.58,-51.333,180.0,top
R1,130.75,-45.837,90.0,top
R1001,107.046,-93.169,270.0,top
R2,120.7,-45.847,90.0,top
R3,107.14898,-80.379,90.0,top
R4,108.08898,-80.379,90.0,top
R5,137.922,-55.6514,0.0,top
RP_SW1,131.958,-76.175,90.0,top
RP_SW2,131.948,-86.462,90.0,top
U1001,125.73,-51.067,180.0,top
U1002,132.334,-59.563,90.0,top
U3,102.656,-78.479,0.0,top
U4,106.426,-87.249,0.0,top
Y1,104.876,-93.469,90.0,top
