Designator,Mid X,Mid Y,Rotation,Layer
C37,140.400001,-78.56,-135.0,top
C40,136.7,-96.69,180.0,top
R62,150.35,-97.47,-90.0,top
R33,177.1,-88.17,45.0,top
C4,140.62,-84.56,180.0,top
R45,162.096744,-87.268644,-135.0,top
C3,125.12,-84.56,180.0,top
R29,144.616001,-106.332001,90.0,top
U7,130.0,-93.5,180.0,top
C5,119.38,-96.69,0.0,top
R42,143.539001,-80.06,180.0,top
C32,136.312001,-75.675,180.0,top
R17,105.143601,-61.33,90.0,top
C16,165.715,-87.295,135.0,top
C28,144.031001,-64.15,-90.0,top
R21,172.116001,-106.332,90.0,top
C39,114.59,-96.69,180.0,top
R37,158.509001,-64.487,90.0,top
U8,137.75,-93.5,180.0,top
R24,162.116,-106.332,90.0,top
C19,164.07,-97.68,-135.0,top
C8,134.88,-96.69,0.0,top
R43,162.761424,-87.933324,45.0,top
U1,137.75,-87.75,0.0,top
C54,149.28,-80.53,90.0,top
C10,114.546073,-70.69,180.0,top
C12,175.659001,-96.97,-90.0,top
U16,143.269,-71.107,180.0,top
C36,142.888001,-64.122,90.0,top
R30,137.116,-106.332001,90.0,top
R54,145.699,-78.860001,0.0,top
U15,167.843573,-92.492214,45.0,top
C47,144.46,-96.82,180.0,top
Y2,146.317,-63.642001,0.0,top
FB1,114.546073,-69.2246,0.0,top
R48,145.399,-80.06,180.0,top
C38,136.284001,-77.961,180.0,top
Y1,177.945001,-96.97,0.0,top
R20,174.616001,-106.332,90.0,top
U6,122.25,-93.5,180.0,top
U5,114.5,-93.5,180.0,top
R50,146.099001,-76.72,0.0,top
R56,145.699,-77.92,180.0,top
R2,114.440001,-107.58,-90.0,top
R26,154.616,-106.332,90.0,top
J1,104.394001,-67.8546,-90.0,top
C31,139.750001,-77.91,-135.0,top
C2,111.63,-96.69,0.0,top
U2,130.0,-87.75,0.0,top
C30,136.284001,-74.532,180.0,top
U9,120.536,-104.635,90.0,top
SW1,121.298001,-62.344001,180.0,top
R41,195.500001,-85.51,90.0,top
U10,146.375,-93.5,180.0,top
R31,134.616,-106.332001,90.0,top
C9,142.640001,-96.82,0.0,top
R10,158.366,-106.332001,-90.0,top
C52,163.26,-83.79,-45.0,top
C11,180.231001,-96.97,90.0,top
J3,198.3625,-67.805,-90.0,top
U13,107.963413,-77.863783,180.0,top
R59,164.557475,-89.16369,45.0,top
R5,175.866,-106.332,-90.0,top
R53,161.021941,-89.672807,45.0,top
R15,138.366,-106.332,-90.0,top
C44,139.25,-84.11,-90.0,top
C7,127.130001,-96.69,0.0,top
C18,169.46,-86.88,45.0,top
C24,173.708148,-95.121853,-45.0,top
Q2,115.948067,-76.713783,0.0,top
R12,153.366001,-106.332,-90.0,top
C41,128.95,-96.69,180.0,top
R19,122.758066,-75.763784,180.0,top
U11,153.365,-96.995,180.0,top
R6,173.366001,-106.332001,-90.0,top
D2,132.544001,-63.47,0.0,top
R44,143.539001,-81.000001,0.0,top
C50,157.45,-85.83,45.0,top
C45,121.2,-96.69,180.0,top
R25,157.116,-106.332,90.0,top
Q1,119.798067,-76.713783,0.0,top
R39,151.29,-97.47,-90.0,top
C57,149.28,-78.49,90.0,top
U17,169.050001,-65.525,0.0,top
C51,164.55,-85.08,135.0,top
R4,130.840001,-106.332001,-90.0,top
C20,162.21,-94.08,-135.0,top
C1,117.37,-84.56,180.0,top
R27,152.116,-106.332,90.0,top
C6,132.87,-84.56,180.0,top
R1,126.720001,-106.332001,-90.0,top
R58,143.239001,-77.92,180.0,top
C42,115.55,-84.56,0.0,top
C13,117.380066,-80.153783,-90.0,top
C49,161.59,-91.07,135.0,top
C33,149.97,-73.0,0.0,top
R18,103.8736,-61.33,90.0,top
R36,120.409,-69.202,0.0,top
C56,137.44,-80.15,-90.0,top
C27,148.603,-64.15,90.0,top
R13,145.866001,-106.332,-90.0,top
C26,184.163001,-62.852,-90.0,top
R34,195.500001,-82.49,90.0,top
R3,106.439001,-61.33,-90.0,top
D3,114.59,-66.82,-90.0,top
R28,142.116001,-106.332001,90.0,top
R47,161.036084,-86.632247,45.0,top
C22,173.05266,-95.777341,-45.0,top
R46,145.399,-81.0,0.0,top
R38,139.967001,-64.122,-90.0,top
R52,146.099001,-75.78,180.0,top
R8,165.866001,-106.332001,-90.0,top
C21,168.811579,-86.23158,45.0,top
D4,117.52,-73.19,0.0,top
C43,131.05,-84.56,0.0,top
U3,122.25,-87.75,0.0,top
C14,119.158066,-80.153783,-90.0,top
R51,160.357261,-89.008126,-135.0,top
R32,132.116,-106.332001,90.0,top
R61,163.892795,-88.499009,-135.0,top
C29,136.284,-69.837001,180.0,top
R16,133.366,-106.332,-90.0,top
C35,136.284001,-76.818,180.0,top
C48,158.74,-84.54,-135.0,top
C34,150.508,-69.837001,0.0,top
C55,137.44,-81.97,90.0,top
R7,170.866001,-106.332001,-90.0,top
C17,172.89,-88.86,45.0,top
R9,163.366,-106.332001,-90.0,top
R49,160.371403,-85.967567,-135.0,top
R57,159.720865,-87.947466,45.0,top
U4,114.5,-87.75,0.0,top
C23,166.405,-86.61,135.0,top
R35,120.409,-68.059,0.0,top
R14,143.366001,-106.332,-90.0,top
R60,143.239001,-78.86,0.0,top
R40,136.030001,-72.504,180.0,top
R22,169.616001,-106.332,90.0,top
C25,183.020001,-62.852,-90.0,top
C46,123.3,-84.56,0.0,top
C53,149.72,-76.26,90.0,top
C15,172.4,-96.43,-45.0,top
R11,155.866,-106.332001,-90.0,top
R55,159.056185,-87.282786,-135.0,top
R23,164.616,-106.332,90.0,top
J2,169.050001,-67.551001,-90.0,bottom
SW2,121.317944,-62.298388,180.0,bottom
